,$X_1$,$X_2$,$X_1'_{ridge}$,$X_2'_{ridge}$,$X_1'_{OLS}$,$X_2'_{OLS}$
191,0.7251106,0.51539314,0.3426094,0.10874659,0.28948593,0.11610854
192,0.75227916,0.4080189,0.6152936,0.12540197,0.5929892,0.10585868
193,0.7552922,0.5501226,0.35914594,0.24438632,0.35433728,0.21460354
194,0.6930669,0.48012972,0.37100357,0.16423303,0.36218262,0.1626749
195,0.6957932,0.47541183,0.44016868,0.19776332,0.4296795,0.1876294
196,0.74817777,0.4157918,0.5009552,0.080245376,0.5360962,0.066707015
197,0.6918487,0.46290118,0.45814478,0.08777529,0.42106336,0.059268832
198,0.69898295,0.340276,0.4015562,0.16484362,0.36969614,0.16370624
199,0.81390154,0.3937617,0.462035,0.10997802,0.46502715,0.11915076
200,0.7337992,0.45885807,0.36986673,0.1488623,0.35953927,0.14838183
201,0.62696683,0.42978406,0.3096406,0.16261274,0.28603464,0.15075433
202,0.7220525,0.40545636,0.5066366,0.19489306,0.46783584,0.21280837
203,0.77158105,0.39270186,0.40269077,0.054820955,0.36371285,0.06447506
204,0.7405064,0.47800213,0.42646146,0.17860872,0.4285283,0.21458888
205,0.71423125,0.4129498,0.44993365,0.16966212,0.42251587,0.16212499
206,0.7528901,0.3894891,0.40806913,0.09750372,0.40782106,0.09851563
207,0.6872649,0.2630703,0.3785857,0.08964461,0.39163274,0.10020006
208,0.79147667,0.2607475,0.47199672,-0.03074801,0.45825827,-0.059171557
209,0.7138965,0.45889884,0.25762838,0.19908082,0.22668737,0.1811269
210,0.69456136,0.3681404,0.45827514,0.084819555,0.43197602,0.09587067
211,0.7968734,0.4906829,0.470932,0.12082058,0.45044166,0.11683363
212,0.8110492,0.4261648,0.56438935,0.10447073,0.56402266,0.1124655
213,0.71792245,0.40102273,0.39001727,0.098713994,0.3507424,0.10559368
214,0.6990676,0.5047606,0.42863953,0.18171567,0.41746128,0.19380665
215,0.6778952,0.53869236,0.28919655,0.16299456,0.29942936,0.15940857
