,$(X_1\cup X_2)\beta \approx Y$,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$R^2(X_1\beta \approx Y)\cap R^2(X_2\beta \approx Y)$,$R^2(X_1\beta \approx Y) \setminus R^2(X_2\beta \approx Y)$,$R^2(X_2\beta \approx Y) \setminus R^2(X_1\beta \approx Y)$
8245,0.87791985,0.7083307,0.37711442,0.20752531,0.5008054,0.1695891
8246,0.89329857,0.6950257,0.4462363,0.24796349,0.4470622,0.19827282
8247,0.9060098,0.7906679,0.43553346,0.3201915,0.4704764,0.11534196
8248,0.87055135,0.7533768,0.3124327,0.19525814,0.55811864,0.117174566
8249,0.9107945,0.7990816,0.4614923,0.34977937,0.44930226,0.11171293
8250,0.8510356,0.7005662,0.19814384,0.047674417,0.65289176,0.15046942
8251,0.90217376,0.7367015,0.44453597,0.2790637,0.4576378,0.16547227
8252,0.90722424,0.7275437,0.51512325,0.33544272,0.392101,0.17968053
8253,0.8734242,0.7072141,0.30278313,0.13657308,0.57064104,0.16621006
8254,0.92462283,0.79784346,0.51436985,0.38759047,0.410253,0.12677938
8255,0.89919907,0.8248393,0.25443852,0.18007869,0.6447606,0.074359834
8256,0.896889,0.7061292,0.41618025,0.22542048,0.48070872,0.19075978
8257,0.8919374,0.74725676,0.41727358,0.2725929,0.47466385,0.14468068
8258,0.9236818,0.8073034,0.484033,0.36765462,0.4396488,0.11637837
8259,0.8860341,0.6518588,0.36621654,0.13204128,0.51981753,0.23417526
8260,0.87921154,0.76047236,0.5187912,0.40005195,0.3604204,0.11873925
8261,0.9136565,0.82135487,0.40499622,0.31269455,0.5086603,0.09230167
8262,0.9012049,0.77702546,0.4448101,0.32063073,0.45639473,0.12417936
8263,0.883811,0.67543435,0.39267063,0.18429399,0.49114037,0.20837665
8264,0.91775966,0.8217256,0.43067616,0.33464217,0.48708344,0.09603399
8265,0.88914454,0.73443377,0.36585844,0.21114767,0.5232861,0.15471077
8266,0.86377907,0.6608368,0.40974367,0.20680141,0.4540354,0.20294225
8267,0.9303628,0.7882492,0.5179621,0.3758484,0.41240078,0.14211369
8268,0.89859617,0.7635333,0.38294268,0.24787986,0.51565343,0.13506281
8269,0.8878405,0.7545929,0.46474195,0.33149433,0.42309856,0.13324761
8270,0.8675024,0.7059533,0.39030653,0.22875744,0.47719586,0.16154909
8271,0.8947028,0.74796665,0.524814,0.37807786,0.36988878,0.14673615
8272,0.8930058,0.72879505,0.46606964,0.30185896,0.4269361,0.16421068
8273,0.8607797,0.7134037,0.4383949,0.2910189,0.4223848,0.147376
8274,0.87725973,0.6693243,0.3765812,0.16864574,0.50067854,0.20793545
8275,0.9358072,0.7724828,0.54967785,0.3863535,0.38612932,0.16332436
8276,0.8298422,0.71480894,0.40953135,0.2944981,0.42031085,0.11503327
8277,0.8932452,0.6950921,0.40096402,0.20281088,0.4922812,0.19815314
8278,0.90328276,0.6650735,0.49756122,0.25935197,0.40572155,0.23820925
8279,0.92936355,0.7408776,0.5201035,0.33161753,0.4092601,0.18848598
8280,0.9009808,0.7989906,0.41977334,0.31778318,0.48120743,0.10199016
8281,0.8959883,0.7618929,0.33136988,0.1972745,0.5646184,0.13409537
8282,0.8733842,0.75038064,0.44760472,0.32460123,0.4257794,0.12300348
8283,0.896106,0.7579458,0.5181579,0.37999773,0.37794805,0.13816017
8284,0.8826926,0.75846237,0.40557337,0.28134322,0.47711915,0.12423015
8285,0.88257295,0.7125199,0.388402,0.21834892,0.49417096,0.17005306
8286,0.86964124,0.7230015,0.44536215,0.29872233,0.42427915,0.14663982
8287,0.879391,0.6606498,0.5385754,0.31983417,0.3408156,0.21874124
8288,0.89080375,0.745137,0.40192324,0.2562564,0.48888057,0.14566684
8289,0.90240145,0.744941,0.46564513,0.30818462,0.43675637,0.15746051
